               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,             0.12969,            0.031407,                   0,             0.49241,             0.31124,             0.30643,             0.10145,              0.1202,            0.032631,                   0,            0.005842,            0.005842,            0.005842
                 128,              0.1306,            0.031709,                   0,             0.52175,             0.31647,             0.31674,             0.10688,             0.11994,            0.031927,                   0,            0.005809,            0.005809,            0.005809
                 129,             0.13116,             0.03014,                   0,              0.5039,              0.3217,             0.31934,             0.10889,             0.11958,             0.03255,                   0,            0.005776,            0.005776,            0.005776
                 130,              0.1302,            0.031962,                   0,             0.51617,             0.32115,             0.31441,             0.10908,             0.11912,            0.032941,                   0,            0.005743,            0.005743,            0.005743
                 131,             0.12826,            0.031458,                   0,             0.53383,              0.3267,             0.32845,             0.11484,             0.11863,            0.033272,                   0,             0.00571,             0.00571,             0.00571
                 132,             0.13075,            0.030128,                   0,             0.51213,             0.32916,             0.32519,             0.11403,             0.11916,             0.03255,                   0,            0.005677,            0.005677,            0.005677
                 133,             0.13058,            0.030657,                   0,              0.5134,             0.31147,             0.30609,             0.10229,             0.11961,            0.033546,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.13014,            0.030017,                   0,             0.50595,             0.31806,             0.31759,             0.10691,             0.11945,            0.032344,                   0,            0.005611,            0.005611,            0.005611
                 135,             0.13021,            0.031118,                   0,             0.54034,              0.3198,             0.32126,             0.11085,             0.11891,            0.032796,                   0,            0.005578,            0.005578,            0.005578
                 136,             0.13103,            0.030682,                   0,             0.52747,             0.32202,             0.32018,             0.11075,             0.11905,             0.03316,                   0,            0.005545,            0.005545,            0.005545
                 137,             0.12947,            0.030952,                   0,             0.52447,             0.33471,             0.32938,               0.112,             0.11864,            0.033156,                   0,            0.005512,            0.005512,            0.005512
                 138,             0.13034,            0.031323,                   0,             0.52151,             0.33273,             0.32864,              0.1121,             0.11842,              0.0329,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.12923,            0.031938,                   0,              0.5367,             0.33471,             0.32723,             0.11402,             0.11849,            0.033895,                   0,            0.005446,            0.005446,            0.005446
                 140,             0.12793,            0.031886,                   0,             0.53328,             0.32137,             0.32027,             0.10979,             0.11873,            0.033104,                   0,            0.005413,            0.005413,            0.005413
                 141,             0.12897,            0.030612,                   0,             0.51216,             0.33003,             0.32589,             0.11538,             0.11881,            0.031966,                   0,             0.00538,             0.00538,             0.00538
                 142,             0.12856,            0.031013,                   0,             0.53194,             0.32876,              0.3288,             0.11631,             0.11856,            0.033065,                   0,            0.005347,            0.005347,            0.005347
                 143,             0.12856,            0.031616,                   0,             0.51104,             0.32131,             0.31411,             0.10351,             0.11961,             0.03215,                   0,            0.005314,            0.005314,            0.005314
                 144,              0.1297,            0.031215,                   0,             0.54226,             0.33282,             0.34093,             0.12362,             0.11827,            0.031964,                   0,            0.005281,            0.005281,            0.005281
                 145,             0.12924,            0.031898,                   0,             0.54047,              0.3351,             0.33783,             0.11523,             0.11839,            0.032194,                   0,            0.005248,            0.005248,            0.005248
                 146,              0.1297,            0.031523,                   0,             0.53966,             0.32591,             0.32926,             0.11307,             0.11879,            0.032301,                   0,            0.005215,            0.005215,            0.005215
                 147,             0.12835,            0.031845,                   0,             0.53205,              0.3382,             0.33625,             0.11373,             0.11815,            0.032356,                   0,            0.005182,            0.005182,            0.005182
                 148,             0.12901,            0.030627,                   0,             0.55384,             0.33212,             0.33417,             0.11543,             0.11811,            0.032467,                   0,            0.005149,            0.005149,            0.005149
                 149,             0.12848,            0.030912,                   0,             0.52827,              0.3322,             0.32819,              0.1111,             0.11892,            0.031768,                   0,            0.005116,            0.005116,            0.005116
                 150,              0.1287,            0.031074,                   0,             0.54417,             0.33534,             0.33568,             0.11534,             0.11852,            0.032494,                   0,            0.005083,            0.005083,            0.005083
                 151,             0.12824,            0.031043,                   0,             0.55445,             0.33645,              0.3411,             0.11794,             0.11784,            0.032315,                   0,             0.00505,             0.00505,             0.00505
                 152,             0.12886,            0.030072,                   0,             0.51537,             0.33764,             0.33207,             0.11283,             0.11853,            0.032821,                   0,            0.005017,            0.005017,            0.005017
